Date / Time,Discharge (cfs),Temperature (deg C),Precip (total inches)
07/31/2015 00:00 MST,"19,300P  ",12.0P  ,0.00P  
07/31/2015 00:15 MST,"19,200P  ",12.1P  ,0.00P  
07/31/2015 00:30 MST,"19,100P  ",12.1P  ,0.00P  
07/31/2015 00:45 MST,"18,900P  ",12.1P  ,0.00P  
07/31/2015 01:00 MST,"18,700P  ",12.1P  ,0.00P  
07/31/2015 01:15 MST,"18,400P  ",12.2P  ,0.00P  
07/31/2015 01:30 MST,"18,200P  ",12.2P  ,0.00P  
07/31/2015 01:45 MST,"18,000P  ",12.2P  ,0.00P  
07/31/2015 02:00 MST,"17,700P  ",12.2P  ,0.00P  
07/31/2015 02:15 MST,"17,400P  ",12.2P  ,0.00P  
07/31/2015 02:30 MST,"17,300P  ",12.2P  ,0.00P  
07/31/2015 02:45 MST,"17,000P  ",12.2P  ,0.00P  
07/31/2015 03:00 MST,"16,900P  ",12.2P  ,0.00P  
07/31/2015 03:15 MST,"16,600P  ",12.2P  ,0.00P  
07/31/2015 03:30 MST,"16,500P  ",12.2P  ,0.00P  
07/31/2015 03:45 MST,"16,400P  ",12.2P  ,0.00P  
07/31/2015 04:00 MST,"16,200P  ",12.1P  ,0.00P  
07/31/2015 04:15 MST,"16,000P  ",12.1P  ,0.00P  
07/31/2015 04:30 MST,"16,000P  ",12.1P  ,0.00P  
07/31/2015 04:45 MST,"15,800P  ",12.1P  ,0.00P  
07/31/2015 05:00 MST,"15,800P  ",12.0P  ,0.00P  
07/31/2015 05:15 MST,"15,800P  ",12.0P  ,0.00P  
07/31/2015 05:30 MST,"15,700P  ",12.0P  ,0.00P  
07/31/2015 05:45 MST,"15,700P  ",12.0P  ,0.00P  
07/31/2015 06:00 MST,"15,600P  ",11.9P  ,0.00P  
07/31/2015 06:15 MST,"15,600P  ",11.9P  ,0.00P  
07/31/2015 06:30 MST,"15,600P  ",11.9P  ,0.00P  
07/31/2015 06:45 MST,"15,600P  ",11.9P  ,0.00P  
07/31/2015 07:00 MST,"15,500P  ",11.9P  ,0.00P  
07/31/2015 07:15 MST,"15,500P  ",11.9P  ,0.00P  
07/31/2015 07:30 MST,"15,400P  ",11.9P  ,0.00P  
07/31/2015 07:45 MST,"15,400P  ",11.9P  ,0.00P  
07/31/2015 08:00 MST,"15,400P  ",11.9P  ,0.00P  
07/31/2015 08:15 MST,"15,300P  ",11.9P  ,0.00P  
07/31/2015 08:30 MST,"15,300P  ",11.9P  ,0.00P  
07/31/2015 08:45 MST,"15,300P  ",11.9P  ,0.00P  
07/31/2015 09:00 MST,"15,300P  ",11.9P  ,0.00P  
